id_arc_trafic;horodate;debit;taux
158;2016-02-02T14:00:00+01:00;;
158;2016-02-03T12:00:00+01:00;;
158;2016-02-03T18:00:00+01:00;;
158;2016-02-03T21:00:00+01:00;;
158;2016-02-04T05:00:00+01:00;;
158;2016-02-04T19:00:00+01:00;;
158;2016-02-04T21:00:00+01:00;;
158;2016-02-05T12:00:00+01:00;;
158;2016-02-05T18:00:00+01:00;;
158;2016-02-06T04:00:00+01:00;;
158;2016-02-07T03:00:00+01:00;;
158;2016-02-08T05:00:00+01:00;;
158;2016-02-08T10:00:00+01:00;;
158;2016-02-09T04:00:00+01:00;;
158;2016-02-09T07:00:00+01:00;;
158;2016-02-09T21:00:00+01:00;;
158;2016-02-09T23:00:00+01:00;;
158;2016-02-10T03:00:00+01:00;;
158;2016-02-10T17:00:00+01:00;;
158;2016-02-11T21:00:00+01:00;;
158;2016-02-13T06:00:00+01:00;;
158;2016-02-13T13:00:00+01:00;;
158;2016-02-14T00:00:00+01:00;;
158;2016-02-14T06:00:00+01:00;;
158;2016-02-15T03:00:00+01:00;;
158;2016-02-15T06:00:00+01:00;;
158;2016-02-15T16:00:00+01:00;;
158;2016-02-17T15:00:00+01:00;;
158;2016-02-18T01:00:00+01:00;;
158;2016-02-18T21:00:00+01:00;;
158;2016-02-19T04:00:00+01:00;;
158;2016-02-19T20:00:00+01:00;;
158;2016-02-20T12:00:00+01:00;;
158;2016-02-21T00:00:00+01:00;;
158;2016-02-21T10:00:00+01:00;;
158;2016-02-21T15:00:00+01:00;;
158;2016-02-21T19:00:00+01:00;;
158;2016-02-22T10:00:00+01:00;;
158;2016-02-23T15:00:00+01:00;;
158;2016-02-23T19:00:00+01:00;;
158;2016-02-24T07:00:00+01:00;;
158;2016-02-24T11:00:00+01:00;;
158;2016-02-24T12:00:00+01:00;;
158;2016-02-24T13:00:00+01:00;;
158;2016-02-24T21:00:00+01:00;;
158;2016-02-25T12:00:00+01:00;;
158;2016-02-25T13:00:00+01:00;;
159;2016-02-01T08:00:00+01:00;;
159;2016-02-01T20:00:00+01:00;;
159;2016-02-02T05:00:00+01:00;;
159;2016-02-02T21:00:00+01:00;;
159;2016-02-02T22:00:00+01:00;;
159;2016-02-03T03:00:00+01:00;;
159;2016-02-03T04:00:00+01:00;;
159;2016-02-03T13:00:00+01:00;;
159;2016-02-03T17:00:00+01:00;;
159;2016-02-04T23:00:00+01:00;;
159;2016-02-06T06:00:00+01:00;;
159;2016-02-06T17:00:00+01:00;;
159;2016-02-08T08:00:00+01:00;;
159;2016-02-09T00:00:00+01:00;;
159;2016-02-09T18:00:00+01:00;;
159;2016-02-10T06:00:00+01:00;;
159;2016-02-11T03:00:00+01:00;;
159;2016-02-11T14:00:00+01:00;;
159;2016-02-11T19:00:00+01:00;;
159;2016-02-12T03:00:00+01:00;;
159;2016-02-13T00:00:00+01:00;;
159;2016-02-13T05:00:00+01:00;;
159;2016-02-14T20:00:00+01:00;;
159;2016-02-15T00:00:00+01:00;;
159;2016-02-15T04:00:00+01:00;;
159;2016-02-15T13:00:00+01:00;;
159;2016-02-15T15:00:00+01:00;;
159;2016-02-16T13:00:00+01:00;;
159;2016-02-16T21:00:00+01:00;;
159;2016-02-17T01:00:00+01:00;;
159;2016-02-17T08:00:00+01:00;;
159;2016-02-17T17:00:00+01:00;;
159;2016-02-19T07:00:00+01:00;;
159;2016-02-19T10:00:00+01:00;;
159;2016-02-19T13:00:00+01:00;;
159;2016-02-20T03:00:00+01:00;;
159;2016-02-20T17:00:00+01:00;;
159;2016-02-20T18:00:00+01:00;;
159;2016-02-21T19:00:00+01:00;;
159;2016-02-22T08:00:00+01:00;;
159;2016-02-22T18:00:00+01:00;;
159;2016-02-24T05:00:00+01:00;;
159;2016-02-25T03:00:00+01:00;;
159;2016-02-25T08:00:00+01:00;;
159;2016-02-25T10:00:00+01:00;;
159;2016-02-25T14:00:00+01:00;;
159;2016-02-26T17:00:00+01:00;;
159;2016-02-27T15:00:00+01:00;;
159;2016-02-28T21:00:00+01:00;;
160;2016-02-01T07:00:00+01:00;;0.6
160;2016-02-01T22:00:00+01:00;;4.9
160;2016-02-03T06:00:00+01:00;;0.7
160;2016-02-04T11:00:00+01:00;;9.9
5641;2016-02-27T19:00:00+01:00;;0.8
5641;2016-02-28T00:00:00+01:00;;0.2
5641;2016-02-28T09:00:00+01:00;;0.1
5641;2016-02-29T17:00:00+01:00;;0.9
5641;2016-02-29T21:00:00+01:00;;1.8
5642;2016-02-01T06:00:00+01:00;;0.1
5642;2016-02-01T10:00:00+01:00;;5.3
5642;2016-02-01T17:00:00+01:00;;3.4
5642;2016-02-03T03:00:00+01:00;;0.6
5642;2016-02-04T07:00:00+01:00;;0.2
5642;2016-02-04T21:00:00+01:00;;4.7
5642;2016-02-06T10:00:00+01:00;;0.9
5642;2016-02-07T06:00:00+01:00;;0.2
5642;2016-02-07T07:00:00+01:00;;0.2
5642;2016-02-07T14:00:00+01:00;;2.1
5642;2016-02-07T23:00:00+01:00;;0.9
5642;2016-02-09T07:00:00+01:00;;0.2
5642;2016-02-09T10:00:00+01:00;;4.9
5642;2016-02-09T21:00:00+01:00;;3.3
5642;2016-02-10T17:00:00+01:00;;3.4
5642;2016-02-10T20:00:00+01:00;;4.3
5642;2016-02-11T04:00:00+01:00;;0.3
5642;2016-02-11T20:00:00+01:00;;3.2
5642;2016-02-12T08:00:00+01:00;;0.4
5642;2016-02-12T14:00:00+01:00;;2.9
5642;2016-02-13T02:00:00+01:00;;1.3
5642;2016-02-13T03:00:00+01:00;;0.9
5642;2016-02-13T16:00:00+01:00;;2.9
5642;2016-02-14T13:00:00+01:00;;2.0
5642;2016-02-14T21:00:00+01:00;;2.1
5642;2016-02-16T18:00:00+01:00;;3.8
5642;2016-02-17T17:00:00+01:00;;4.2
5642;2016-02-17T22:00:00+01:00;;3.0
5642;2016-02-18T21:00:00+01:00;;3.9
5642;2016-02-20T11:00:00+01:00;;1.1
5642;2016-02-21T11:00:00+01:00;;0.8
5642;2016-02-21T20:00:00+01:00;;2.1
5642;2016-02-22T05:00:00+01:00;;0.1
5642;2016-02-22T11:00:00+01:00;;3.1
5642;2016-02-22T23:00:00+01:00;;0.9
5642;2016-02-23T12:00:00+01:00;;4.2
5642;2016-02-23T16:00:00+01:00;;2.3
5642;2016-02-23T22:00:00+01:00;;1.9
5642;2016-02-24T06:00:00+01:00;;0.1
5642;2016-02-24T09:00:00+01:00;;1.2
5642;2016-02-24T10:00:00+01:00;;2.4
5642;2016-02-24T13:00:00+01:00;;2.5
5642;2016-02-24T20:00:00+01:00;;3.2
5642;2016-02-25T00:00:00+01:00;;2.7
5642;2016-02-25T06:00:00+01:00;;0.3
5642;2016-02-25T11:00:00+01:00;;3.4
5642;2016-02-25T22:00:00+01:00;;2.1
5642;2016-02-27T10:00:00+01:00;;0.7
5642;2016-02-28T11:00:00+01:00;;0.5
5642;2016-02-28T19:00:00+01:00;;1.9
5642;2016-02-29T04:00:00+01:00;;0.1
5642;2016-02-29T12:00:00+01:00;;2.2
5643;2016-02-01T12:00:00+01:00;;
5643;2016-02-01T13:00:00+01:00;;
5643;2016-02-01T22:00:00+01:00;;
5643;2016-02-03T04:00:00+01:00;;
5643;2016-02-03T21:00:00+01:00;;
5643;2016-02-04T00:00:00+01:00;;
5643;2016-02-04T22:00:00+01:00;;
5643;2016-02-05T00:00:00+01:00;;
5643;2016-02-05T03:00:00+01:00;;
5643;2016-02-08T12:00:00+01:00;;
5643;2016-02-08T15:00:00+01:00;;
