OBJECTID;id_arc;id_arc_tra;SHAPE.LEN;geo_shape;geo_point_2d
1009;1106.0;4301;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.28798041439171, 48.880173934726045], [2.285383675647954, 48.88076386470787]]}";48.8804688997, 2.28668204502
1013;1110.0;5868;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.40337979871683, 48.83660044342846], [2.405605028484108, 48.835804317659544]]}";48.8362023805, 2.4044924136
1016;1114.0;242;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3237231484805, 48.86921363860055], [2.323151002200044, 48.868409464016445]]}";48.8688115513, 2.32343707534
1027;1125.0;1368;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.366809149811577, 48.863174931045904], [2.365875732594472, 48.86466396919203]]}";48.8639194501, 2.3663424412
1028;1126.0;1366;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.365875732594472, 48.86466396919203], [2.365531472950086, 48.865263992289414]]}";48.8649639807, 2.36570360277
1029;1127.0;1363;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.364732797052124, 48.86638094078962], [2.365386771698526, 48.86522445173207]]}";48.8658026963, 2.36505978438
1033;1131.0;1377;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.367037664067712, 48.86153862752842], [2.367510123304225, 48.85947848036519]]}";48.8605085539, 2.36727389369
1041;1139.0;376;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.368461244867564, 48.85328606943615], [2.367652927998905, 48.85338321764578]]}";48.8533346435, 2.36805708643
1043;1141.0;373;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.362915777830751, 48.85460919959028], [2.361688744133979, 48.855106561627935]]}";48.8548578806, 2.36230226098
1052;1150.0;176;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.346418661137895, 48.85911960745206], [2.345652844583709, 48.85936670068521]]}";48.8592431541, 2.34603575286
1053;1151.0;30;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.344821422771107, 48.85963495306669], [2.343908765371923, 48.85992424875323]]}";48.8597796009, 2.34436509407
1056;1154.0;33;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.340740688223999, 48.860949155560526], [2.339079691724439, 48.86149863232241]]}";48.8612238939, 2.33991018997
1058;1156.0;35;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.33699158097365, 48.86215821362957], [2.335333585477541, 48.86267816074552]]}";48.8624181872, 2.33616258323
1063;1162.0;430;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.36140461587025, 48.85080553715494], [2.362162682130834, 48.85105801494981]]}";48.8509317761, 2.361783649
1081;1180.0;65;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.34820581871857, 48.85237204854123], [2.346803853847629, 48.85308386817961]]}";48.8527279584, 2.34750483628
1088;1187.0;4184;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.329335161881886, 48.85955743619746], [2.327738059506031, 48.8600385859972]]}";48.8597980111, 2.32853661069
1098;1197.0;13;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.354922935342975, 48.854438287333885], [2.352796189916452, 48.85532301137559]]}";48.8548806494, 2.35385956263
1099;1198.0;14;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.352796189916452, 48.85532301137559], [2.350705008024009, 48.85611455736529]]}";48.8557187844, 2.35175059897
1102;1201.0;327;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.319057693234194, 48.86248040333828], [2.319387265945794, 48.86237538232689], [2.319657637568695, 48.862097900015364]]}";48.8623268524, 2.31938095827
1104;1203.0;332;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.321519949894695, 48.860143436904295], [2.322590064451757, 48.859042321000466]]}";48.859592879, 2.32205500717
1108;1207.0;195;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.330422684355876, 48.85445015982303], [2.331587904471934, 48.85416774684403]]}";48.8543089533, 2.33100529441
1112;1211.0;160;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.338856831991915, 48.85245625762536], [2.340153497275575, 48.8521034500441]]}";48.8522798538, 2.33950516463
1113;1212.0;161;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.340153497275575, 48.8521034500441], [2.341934461648323, 48.8516854518536]]}";48.8518944509, 2.34104397946
1119;1220.0;533;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.356045203193068, 48.865475913970364], [2.355615440150689, 48.865226087071065], [2.354845601082197, 48.86377759420452]]}";48.8646993265, 2.35537001404
1125;1226.0;51;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.349359711948646, 48.85728685366843], [2.3489117100494132, 48.85669572954144]]}";48.8569912916, 2.349135711
1153;1255.0;6744;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3555581787566853, 48.86894855512917], [2.357503162369985, 48.86865337591872]]}";48.8688009655, 2.35653067056
1211;1317.0;440;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.357730341965794, 48.85327730197369], [2.359010390626294, 48.85280473876389]]}";48.8530410204, 2.3583703663
1376;1665.0;5915;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.40663869948234, 48.848930787710444], [2.406455435266971, 48.850506468611805]]}";48.8497186282, 2.40654706737
1389;1679.0;6637;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.389987196850746, 48.87331989650364], [2.39218453785631, 48.87164767529706]]}";48.8724837859, 2.39108586735
1391;1681.0;6633;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3853702962852, 48.87389120881297], [2.388070963219538, 48.873769469684895]]}";48.8738303392, 2.38672062975
1403;1726.0;1519;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.40565030335184, 48.87687947030913], [2.406416792480088, 48.8770066443319]]}";48.8769430573, 2.40603354792
1405;1728.0;6525;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.399130126233174, 48.87548468528512], [2.402545898887587, 48.875968468233225]]}";48.8757265768, 2.40083801256
1409;1732.0;6519;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3893872559771863, 48.875136643429485], [2.389743837240386, 48.875305241223465], [2.390166711191937, 48.87538037168573], [2.390586139565843, 48.87541134386862], [2.391032290229568, 48.87542644330498], [2.391641364941653, 48.87542257217345], [2.392199886021757, 48.87541104876293]]}";48.8753775488, 2.39077525352
1413;1740.0;6023;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.326640648738509, 48.87315080549591], [2.325842364897335, 48.87207242301506]]}";48.8726116143, 2.32624150682
1417;1744.0;4057;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.32828222965421, 48.88393404574459], [2.327923344444695, 48.88374922914077], [2.327398646496175, 48.883692425281275]]}";48.8837731852, 2.32785246368
1418;1746.0;4054;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3285832681017222, 48.88383184446816], [2.329456410434569, 48.884408769799556]]}";48.8841203071, 2.32901983927
1421;1775.0;4977;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.374431486248435, 48.879666828793354], [2.374374667075688, 48.879970522589865], [2.374227982844271, 48.88039720928581], [2.374049209435384, 48.88071164983713], [2.373760575363677, 48.8810277880357], [2.373283346105044, 48.881260837702804]]}";48.8805802505, 2.37400770133
1425;1779.0;6627;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.379566720332178, 48.87634302792685], [2.37893801880899, 48.87642155583599], [2.378194169838965, 48.87648086171387]]}";48.8764195629, 2.37888122415
1429;1783.0;6628;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.37976543230361, 48.87622468113433], [2.381257119576767, 48.875961187879895]]}";48.8760929345, 2.38051127594
2019;3576.0;5368;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.380836794094998, 48.90037374188186], [2.378071783380704, 48.90032325247156], [2.376040598193217, 48.900459547347424]]}";48.9003666882, 2.3784374784
2024;3581.0;5363;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.401125850688332, 48.882605058859106], [2.398703040124386, 48.88449535103706], [2.398113951028512, 48.88513395809805], [2.397711246824924, 48.88570045034045], [2.397389625847679, 48.88628041985342]]}";48.88430766, 2.39910925539
